"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm","res16large_city","res16medium_size_city","res16small_city_or_town"
"1880",2,34,3,57.4,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1893",2,55,3,46.5,22.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"1895",2,39,3,76.3,75.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1904",1,61,4,57.8,73.4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"1906",4,74,3,80.9,64.2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1913",7,46,4,64.5,38.8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"1917",1,67,2,31,24.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"1921",1,47,3,61.4,76.3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"1924",4,55,5,91.1,56.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1925",2,32,3,92.8,25.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1949",0,45,4,57.5,84.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"1972",1,32,3,32,89.4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"1973",10,24,2,23.3,12.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"1991",2,26,4,67.8,73.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1992",1,36,4,84.5,64.5,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"1997",4,62,3,38.8,20.8,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2000",5,59,4,92.8,71.4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2011",2,28,4,85,89.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2026",6,70,3,48.4,14.8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"2037",2,47,3,28.7,38.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2038",0,88,2,23.3,26.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2042",2,55,2,62.7,24.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2044",1,56,3,21.5,13.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2058",2,28,3,67.7,59.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2077",2,59,3,28.3,38.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2082",4,74,2,31.2,26.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2091",2,49,1,23.3,19.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2098",11,55,3,17.5,12.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2110",1,65,2,35.3,13.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2120",11,68,3,66.4,27,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"2128",1,57,4,57.8,35.8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2141",6,73,1,59,46.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2143",1,68,4,85.2,27,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2152",5,81,1,39.9,46.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2156",4,34,4,67.7,24.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"2169",3,62,3,48.3,32,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2170",3,41,3,77.4,39.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2172",1,31,4,84.5,80.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"2177",1,29,2,59.1,38.8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2185",4,80,4,22.9,26.8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2189",2,60,3,72.5,82.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2190",1,75,3,68,84.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2191",0,41,3,67.7,23.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2193",3,29,3,71.8,21.8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2202",2,63,3,35.8,39.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2210",1,45,3,20.5,20.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"2234",1,44,2,41,21.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2254",9,61,1,39.9,13.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2261",1,67,3,33.9,12.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"2278",3,68,3,39.7,38.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2294",4,35,3,32,46.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2315",0,63,4,46,61.4,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"2335",2,65,3,59.8,38.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2336",3,27,4,92.8,92.8,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2337",1,43,3,35.3,80.9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2343",1,31,3,36.4,84.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2346",1,38,3,82.5,38.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2353",2,82,2,27,13.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2354",2,82,3,53.6,35.1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"2356",3,65,3,53.6,62.9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2382",2,19,4,77.4,61.4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2383",2,69,2,67.7,77.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"2388",5,65,2,67.8,59.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2392",0,71,5,52.5,62.7,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"2393",3,47,5,30.8,34.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2394",2,41,4,71.8,38.8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"2410",4,76,2,39.9,28.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2463",4,69,3,53.6,59.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2473",2,81,2,50.4,35.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"2476",2,30,3,32.7,23.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2480",6,70,3,39.9,13.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2489",2,69,3,26.8,26.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2490",11,32,3,82.5,84.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2491",2,77,3,43,61.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"2494",4,68,1,20.7,12.6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"2523",7,18,3,62.9,20.7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2527",1,36,3,82.5,80.9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"2533",1,24,1,32,25.7,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"2537",2,70,3,33.7,81,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"2553",1,63,3,43,21.6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"2555",3,79,3,92.8,38.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"2562",2,52,3,32,39.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2567",1,39,4,53.8,38.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2575",3,72,3,43,24.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2587",1,21,3,65.3,26.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"2597",1,52,3,32,38.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"2617",5,68,2,24.6,19.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2623",4,23,2,19.2,39.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2625",11,72,3,25.4,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2628",2,40,4,65.3,87.9,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2649",1,47,2,20.7,21.6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2653",2,42,3,82.5,80.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"2662",2,28,4,67.7,62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2664",1,61,5,65.3,67.7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2672",2,36,4,73.6,84.2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2679",4,27,3,43,18.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2685",1,33,3,14,12.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2688",1,36,4,68.6,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2702",2,87,5,26.8,39.7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2712",2,51,3,26.8,21.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2713",1,61,3,75.5,38.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"2723",2,79,3,23.3,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2731",1,84,3,37.6,38.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2736",3,67,3,52.4,58.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2740",1,59,3,52.3,26.5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"2745",1,61,2,60.1,80.9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2755",5,20,3,24.2,24.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"2758",5,60,1,58.1,26.9,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2761",1,23,3,43,69.3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2771",3,50,3,56.9,38.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2777",2,67,2,39.9,38.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2781",2,42,3,43,24.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"2794",3,31,5,92.8,26.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"2796",4,39,2,62.6,80.9,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2802",2,44,2,86.1,26.9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"2806",3,69,2,39.9,26.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2821",5,55,2,65.1,21.8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"2836",12,65,2,25.2,13.6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"2839",9,67,3,20.8,39.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2845",2,55,4,65.3,74.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"2848",1,32,3,64.5,41.8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"2850",2,58,3,39.2,36.9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"2862",2,36,3,39.2,24.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"2864",3,50,3,50.4,69.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"2868",7,47,2,39.9,17.1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2877",5,32,2,20.5,24.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"2891",1,22,2,31.4,32,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"2898",1,39,2,46.2,35.8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"2918",2,64,2,36.7,31.9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"2938",4,26,3,54.6,62.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"2947",0,19,4,49.6,84.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"2957",1,52,4,46.5,23.3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"2961",2,58,3,18.8,39.7,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"2970",2,58,3,65.3,38.3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"2971",2,66,3,39.7,26.8,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2978",3,50,1,31.6,26.5,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2997",10,27,4,42.9,35.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"3004",1,36,3,25.2,71.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"3006",1,31,3,39.9,20.8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"3016",4,41,3,32,12.6,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3043",4,32,3,17.1,23.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"3052",9,73,1,14,12.4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"3063",2,69,3,21.5,39.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"3093",3,62,3,65.3,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"3102",0,64,2,36.4,76.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3114",5,44,2,64.9,21.8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"3127",3,56,3,92.8,84.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3142",10,68,2,20.7,14,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"3144",3,53,3,75.2,38.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"3153",2,63,3,46,75.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"3156",3,73,3,20.7,23.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"3157",3,54,4,50.4,81,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"3170",1,50,2,46.5,37.6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"3186",1,49,3,83.8,84.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"3203",4,36,4,32,21.8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"3211",1,45,3,71.8,60.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"3215",4,28,2,84,21.6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"3220",1,46,3,36.7,37.9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"3246",1,47,3,46.6,21.6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"3248",10,61,1,28.7,13.6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"3252",3,66,3,59.1,25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"3261",4,71,3,26.8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3262",2,38,3,50.1,36.9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"3273",2,56,4,35.4,68.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3274",3,87,3,18.8,14,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"3280",4,70,2,92,38.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3292",3,45,3,62.9,62.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"3302",1,25,4,80.7,70.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"3321",2,19,2,45.4,39.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"3327",3,70,3,50.4,61.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"3370",3,62,2,31.2,21.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3374",2,28,3,31,20.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3388",1,74,4,43,43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"3398",2,69,2,42.8,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3405",3,61,3,46.5,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3414",1,43,2,23.3,21.6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3417",9,62,3,21,13.6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"3428",1,25,3,32,65.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3430",1,49,4,32,84.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3435",4,50,3,25,13.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3443",2,29,3,38.1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3445",3,52,3,18.6,26.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3451",1,33,2,51.8,38.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3483",9,66,2,39.9,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"3499",2,66,2,26.8,13.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"3501",7,62,1,28.7,13.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"3505",1,54,3,36.4,39.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"3506",2,53,2,23.3,24.6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"3512",1,51,3,51.8,38.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3523",0,29,3,26.8,70.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"3528",3,72,3,23.3,38.8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"3531",3,61,3,59.8,46.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"3534",3,50,2,23.7,12.6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
