,date,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m
0,2018-11-11 03:00:00,64.9283,0.003937008,2.6183414,109.98319
1,2018-11-11 04:00:00,64.4783,0.0118110245,2.0256896,96.340096
2,2018-11-11 05:00:00,64.7483,0.007874016,1.9112936,69.44387
3,2018-11-11 06:00:00,64.2083,0.0,4.0821414,9.462261
4,2018-11-11 07:00:00,63.308296,0.0,3.1635957,8.130019
5,2018-11-11 08:00:00,62.5883,0.0,4.5626025,11.3098955
6,2018-11-11 09:00:00,63.2183,0.0,4.3950076,345.25638
7,2018-11-11 10:00:00,65.7383,0.003937008,3.472758,345.06854
8,2018-11-11 11:00:00,67.2683,0.003937008,4.6709933,343.3007
9,2018-11-11 12:00:00,71.3183,0.003937008,3.2028964,335.22488
10,2018-11-11 13:00:00,73.9283,0.0,4.440318,319.0857
11,2018-11-11 14:00:00,76.0883,0.0,3.4943058,309.8055
12,2018-11-11 15:00:00,77.168304,0.003937008,1.3422,180.0
13,2018-11-11 16:00:00,75.1883,0.0118110245,9.556468,147.42595
14,2018-11-11 17:00:00,74.1983,0.0118110245,10.435072,149.03632
15,2018-11-11 18:00:00,71.8583,0.0,12.670191,137.86247
16,2018-11-11 19:00:00,71.7683,0.0,11.915043,129.6678
17,2018-11-11 20:00:00,70.5083,0.0,9.8529625,129.47243
18,2018-11-11 21:00:00,69.2483,0.0,8.594274,128.65984
19,2018-11-11 22:00:00,67.4483,0.0,7.791057,129.17365
20,2018-11-11 23:00:00,66.8183,0.0,7.1618943,128.65984
21,2018-11-12 00:00:00,66.0983,0.0,3.1077397,120.256355
22,2018-11-12 01:00:00,65.918304,0.0,4.297137,128.65984
23,2018-11-12 02:00:00,65.4683,0.0,4.440318,130.91429
