,date,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m
0,2018-06-10 05:00:00,54.3236,0.0,5.3688,360.0
1,2018-06-10 06:00:00,52.3436,0.0,4.9416943,354.80566
2,2018-06-10 07:00:00,51.2636,0.0,5.188683,352.5687
3,2018-06-10 08:00:00,50.0936,0.0,4.8856816,344.05453
4,2018-06-10 09:00:00,49.2836,0.0,5.484073,11.76827
5,2018-06-10 10:00:00,50.453598,0.0,7.2210417,16.189287
6,2018-06-10 11:00:00,52.973602,0.0,8.105846,27.979382
7,2018-06-10 12:00:00,56.3936,0.0,7.2036953,36.158287
8,2018-06-10 13:00:00,59.2736,0.0,7.4495792,41.347687
9,2018-06-10 14:00:00,61.4336,0.0,6.847559,38.367523
10,2018-06-10 15:00:00,62.873604,0.0,5.8333826,32.471172
11,2018-06-10 16:00:00,64.1336,0.0,4.703023,25.346138
12,2018-06-10 17:00:00,65.2136,0.0,4.6116934,14.036275
13,2018-06-10 18:00:00,66.3836,0.0,3.607054,7.12493
14,2018-06-10 19:00:00,67.1936,0.0,2.0256896,6.3401003
15,2018-06-10 20:00:00,67.373604,0.0,1.0004169,26.564985
16,2018-06-10 21:00:00,67.4636,0.0,1.2046614,158.19853
17,2018-06-10 22:00:00,67.6436,0.0,3.9067528,193.24052
18,2018-06-10 23:00:00,66.3836,0.0,2.3354967,106.699326
19,2018-06-11 00:00:00,63.7736,0.0,4.9518104,71.564964
20,2018-06-11 01:00:00,59.543602,0.0,6.056448,85.76369
21,2018-06-11 02:00:00,55.7636,0.0,4.7821593,100.784256
22,2018-06-11 03:00:00,54.5036,0.0,5.1645155,72.34979
23,2018-06-11 04:00:00,52.163597,0.0,6.0233064,74.931465
