,date,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m
0,2022-10-01 16:00:00,79.5002,0.0,2.6937048,41.63345
1,2022-10-01 17:00:00,79.7702,0.0,1.5006253,26.564985
2,2022-10-01 18:00:00,77.7002,0.28346455,4.911221,30.068504
3,2022-10-01 19:00:00,77.4302,0.062992126,5.2414584,50.194473
4,2022-10-01 20:00:00,77.4302,0.062992126,4.4290338,44.999897
5,2022-10-01 21:00:00,77.8802,0.01968504,4.5295796,69.775055
6,2022-10-01 22:00:00,77.6102,0.0118110245,6.6095686,66.03751
7,2022-10-01 23:00:00,77.2502,0.0118110245,5.2223296,46.73567
8,2022-10-02 00:00:00,76.5302,0.003937008,7.9657307,321.8427
9,2022-10-02 01:00:00,76.9802,0.047244098,6.4872994,313.6029
10,2022-10-02 02:00:00,78.3302,0.007874016,5.3874097,311.63345
11,2022-10-02 03:00:00,79.0502,0.0,6.002501,296.56497
12,2022-10-02 04:00:00,79.590195,0.031496063,4.7453933,315.0001
13,2022-10-02 05:00:00,78.8702,0.05905512,1.5006253,26.564985
14,2022-10-02 06:00:00,80.1302,0.023622049,0.9223387,255.96373
15,2022-10-02 07:00:00,82.1102,0.0,1.1406506,348.6901
16,2022-10-02 08:00:00,83.2802,0.003937008,0.9223387,75.96373
17,2022-10-02 09:00:00,82.9202,0.015748031,3.3851953,82.40546
18,2022-10-02 10:00:00,82.560196,0.007874016,2.4196854,56.3099
19,2022-10-02 11:00:00,81.9302,0.007874016,3.6689527,52.431335
20,2022-10-02 12:00:00,77.9702,0.003937008,4.112674,202.38017
21,2022-10-02 13:00:00,78.8702,0.003937008,3.8616607,190.00792
22,2022-10-02 14:00:00,78.1502,0.0,2.6937048,221.63345
23,2022-10-02 15:00:00,80.0402,0.0,1.304384,239.0363
