,date,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m
0,2021-05-22 23:00:00,59.086403,0.0,1.8981575,44.999897
1,2021-05-23 00:00:00,60.2564,0.0,0.7074015,251.56496
2,2021-05-23 01:00:00,59.9864,0.0,2.3354967,16.699326
3,2021-05-23 02:00:00,58.636402,0.0,1.304384,329.03632
4,2021-05-23 03:00:00,58.096397,0.0,1.8446774,284.03625
5,2021-05-23 04:00:00,58.456398,0.0,3.5370073,304.69522
6,2021-05-23 05:00:00,60.0764,0.0,4.1790605,285.52417
7,2021-05-23 06:00:00,64.3064,0.0,4.9214,270.0
8,2021-05-23 07:00:00,68.446396,0.0,5.3172884,255.37909
9,2021-05-23 08:00:00,70.876396,0.0,8.142803,249.07542
10,2021-05-23 09:00:00,73.6664,0.0,9.437913,238.57048
11,2021-05-23 10:00:00,73.6664,0.0,11.722392,221.90585
12,2021-05-23 11:00:00,73.6664,0.0,12.782258,212.85571
13,2021-05-23 12:00:00,70.336395,0.0,11.124436,105.15412
14,2021-05-23 13:00:00,69.7064,0.0,6.0852976,107.10281
15,2021-05-23 14:00:00,69.5264,0.0,8.408858,118.61037
16,2021-05-23 15:00:00,66.6464,0.0,6.54872,97.853226
17,2021-05-23 16:00:00,66.7364,0.0,5.833382,94.39862
18,2021-05-23 17:00:00,65.9264,0.0,5.596972,87.70944
19,2021-05-23 18:00:00,64.5764,0.0,5.1645155,94.96966
20,2021-05-23 19:00:00,63.6764,0.0,4.4120536,59.53454
21,2021-05-23 20:00:00,63.2264,0.0,4.2737823,83.99109
22,2021-05-23 21:00:00,61.6964,0.0,4.6116934,104.03627
23,2021-05-23 22:00:00,60.706398,0.0,4.2561827,93.012726
