"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm"
"153",1,70,3,76.3,35.1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"164",2,55,3,80.9,80.9,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"165",1,46,3,24.1,38.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"166",2,40,2,25,62,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"167",3,63,4,72.5,38.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"168",3,65,2,36.2,26.1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"172",2,34,3,62,26.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"173",2,29,3,81.5,84.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"175",1,41,3,62.9,80.9,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"176",2,39,1,27.2,21.8,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"177",2,63,4,59.8,65.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"182",3,53,2,32,59.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"185",3,54,3,65.3,39.7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"190",1,49,3,38.3,25,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"193",0,64,3,45.4,28.6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"196",3,56,3,71.6,47.9,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"197",1,30,4,27,69.3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"200",2,25,4,39.9,77.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"206",1,74,2,18.6,13.2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"207",2,43,1,62,20.1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"209",1,40,4,49.6,38.8,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"215",7,36,2,34.7,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"226",3,33,1,52.1,32,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"227",1,43,3,88.7,57.5,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"228",1,23,3,43,20.8,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"232",0,23,3,57.5,21.6,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"234",1,39,4,43,52,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"238",2,41,4,52.3,80.9,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"239",1,27,3,31.2,38.8,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"243",2,28,1,31.4,24.2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"248",1,22,3,31.2,62.9,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"249",8,51,2,39.7,13.2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"259",7,81,2,39.9,12.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"264",2,38,4,62,82.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"267",2,37,3,19.6,62,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"268",4,30,3,91.9,86.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"270",1,52,4,85.8,80.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"272",1,66,4,67.7,43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"274",1,33,3,62,38.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"277",2,57,1,39.9,38.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"280",2,37,2,39.7,25,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"281",3,68,3,34.7,14,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"282",13,68,2,18.6,13.6,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"284",2,41,4,61.4,54.6,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"286",3,53,3,32,25,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
